cohort1	subcohort1	cohort2	subcohort2	ancestry1	ancestry2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
BASIC	202011	iPSYCH	2015i_HRC	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	lgic2	202011	eur	eur	-0.0128	0.6154	-0.0208	0.9834	0.2114	0.0813	0.9933	0.007	0.0111	0.0053
BASIC	202011	MDD29	0120a_rmUKBB	eur	eur	NA	NA	NA	NA	0.1166	0.0149	0.9818	0.0085	0.0054	0.006
BASIC	202011	MDD47	29w2_18w3_1503	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	MoBa	harvest12	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	MoBa	rotterdam1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	MVP	ICDdep_AllSex_202101	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	PBK	2020	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	PGC	wray2018	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	PREFECT	run1	eur	eur	NA	NA	NA	NA	0.4698	0.1018	0.9944	0.0079	-0.0045	0.0056
BASIC	202011	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0791	0.0525	1.0152	0.0079	0.0088	0.0057
BASIC	202011	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASIC	202011	UKBB	MD_glm_202012	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BioVU	Cov_SAIGE_202101	DBDS	FINAL202103	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BioVU	Cov_SAIGE_202101	deCODE	DEPALL_FINAL_WHEAD	eur	eur	NA	NA	NA	NA	0.0881	0.011	0.9964	0.0087	-0.0019	0.0049
BioVU	Cov_SAIGE_202101	ESTBB	EstBB	eur	eur	NA	NA	NA	NA	0.007	0.0038	0.9925	0.0076	-5e-4	0.0047
BioVU	Cov_SAIGE_202101	EXCEED	202010	eur	eur	1.8902	15.9133	0.1188	0.9054	0.1182	0.1828	1.0011	0.0079	0.0032	0.0055
BioVU	Cov_SAIGE_202101	FinnGen	R5_18032020	eur	eur	NA	NA	NA	NA	0.0241	0.003	1.0415	0.0088	-0.0052	0.0053
BioVU	Cov_SAIGE_202101	GenScot	1215a	eur	eur	NA	NA	NA	NA	0.1141	0.0634	0.9897	0.0074	0.0055	0.0052
BioVU	Cov_SAIGE_202101	GERA	0915a_mds5	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BioVU	Cov_SAIGE_202101	HUNT	gp_all_20190625	eur	eur	NA	NA	NA	NA	0.0455	0.0153	1.0053	0.0074	0.0108	0.0052
BioVU	Cov_SAIGE_202101	HUNT	hospital_all_20190625	eur	eur	NA	NA	NA	NA	0.1049	0.0241	0.991	0.0077	-0.0035	0.0053
