cohort1	subcohort1	cohort2	subcohort2	ancestry1	ancestry2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
GenScot	1215a	MoBa	rotterdam1	eur	eur	0.3267	0.7462	0.4378	0.6615	0.0454	0.0538	1.002	0.008	0.0052	0.0053
GenScot	1215a	MVP	ICDdep_AllSex_202101	eur	eur	0.4812	0.2077	2.3169	0.0205	0.0484	0.0035	1.0256	0.0098	6e-4	0.0049
GenScot	1215a	PBK	2020	eur	eur	-0.0117	0.3362	-0.0347	0.9723	0.0524	0.0198	1.0008	0.0066	0.0138	0.0049
GenScot	1215a	PGC	wray2018	eur	eur	0.5973	0.2818	2.1194	0.0341	0.056	0.0023	1.0073	0.0105	0.1046	0.006
GenScot	1215a	PREFECT	run1	eur	eur	0.5553	0.3542	1.5678	0.1169	0.4877	0.1023	0.9918	0.0075	-0.0062	0.0053
GenScot	1215a	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0687	0.0514	1.0132	0.0079	0.004	0.0058
GenScot	1215a	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GenScot	1215a	UKBB	MD_glm_202012	eur	eur	0.7247	0.3145	2.3044	0.0212	0.029	0.0018	1.0173	0.0077	0.0034	0.0052
GERA	0915a_mds5	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7186	0.1395	5.1506	2.5969e-7	0.087	0.0105	0.9958	0.0082	0.0035	0.0051
GERA	0915a_mds5	GenScot	1215a	eur	eur	0.2496	0.379	0.6586	0.5101	0.0717	0.0577	0.9971	0.0068	-0.0014	0.0054
GERA	0915a_mds5	HUNT	gp_all_20190625	eur	eur	0.9228	0.2767	3.3356	9e-4	0.0411	0.0156	1.0083	0.0074	-0.0059	0.0052
GERA	0915a_mds5	HUNT	hospital_all_20190625	eur	eur	0.7568	0.2139	3.5379	4e-4	0.0933	0.024	0.9961	0.008	0.0055	0.0052
GERA	0915a_mds5	iPSYCH	2012_HRC	eur	eur	0.9141	0.1653	5.5293	3.2159e-8	0.1468	0.0156	1.0231	0.0104	-0.0108	0.0061
GERA	0915a_mds5	iPSYCH	2015i_HRC	eur	eur	0.672	0.1575	4.2656	1.9933e-5	0.1255	0.0226	0.9896	0.0086	0.0042	0.0049
GERA	0915a_mds5	lgic2	202011	eur	eur	0.6736	0.335	2.0106	0.0444	0.1923	0.0941	0.9968	0.0082	-0.0019	0.006
GERA	0915a_mds5	MDD29	0120a_rmUKBB	eur	eur	0.6543	0.1439	4.5462	5.4624e-6	0.1135	0.0152	0.9857	0.0086	0.0033	0.0054
GERA	0915a_mds5	MDD47	29w2_18w3_1503	eur	eur	0.685	0.1346	5.0884	3.6107e-7	0.077	0.0085	1.0084	0.0086	0.0101	0.0059
GERA	0915a_mds5	MoBa	harvest12	eur	eur	1.3165	0.5462	2.4104	0.0159	0.0808	0.0548	0.9904	0.0095	-0.0173	0.0063
GERA	0915a_mds5	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GERA	0915a_mds5	MoBa	rotterdam1	eur	eur	1.5102	1.0063	1.5007	0.1334	0.0437	0.0523	1.0038	0.0077	-0.0076	0.0061
GERA	0915a_mds5	MVP	ICDdep_AllSex_202101	eur	eur	0.9672	0.1328	7.284	3.2417e-13	0.048	0.0033	1.0226	0.0097	0.0046	0.0055
GERA	0915a_mds5	PBK	2020	eur	eur	0.7495	0.263	2.8497	0.0044	0.0547	0.0214	1.0003	0.0068	0.0044	0.0054
GERA	0915a_mds5	PGC	wray2018	eur	eur	0.913	0.1022	8.9333	4.1366e-19	0.0559	0.0025	1.0042	0.0114	0.2707	0.0069
GERA	0915a_mds5	PREFECT	run1	eur	eur	0.5355	0.1637	3.2709	0.0011	0.5054	0.0989	0.9881	0.0076	-0.0087	0.0049
GERA	0915a_mds5	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0494	0.0541	1.0079	0.0084	0.0083	0.006
GERA	0915a_mds5	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GERA	0915a_mds5	UKBB	MD_glm_202012	eur	eur	0.7676	0.1103	6.9619	3.3568e-12	0.0291	0.0018	1.0142	0.008	0.0146	0.005
HUNT	gp_all_20190625	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7275	0.1929	3.7706	2e-4	0.0849	0.0109	1.0002	0.0077	0.0092	0.0053
HUNT	gp_all_20190625	HUNT	hospital_all_20190625	eur	eur	0.6238	0.21	2.9697	0.003	0.098	0.0234	0.9927	0.0069	0.081	0.0051
HUNT	gp_all_20190625	iPSYCH	2012_HRC	eur	eur	0.5736	0.177	3.2413	0.0012	0.1459	0.0153	1.0254	0.0096	0.0063	0.0063
HUNT	gp_all_20190625	iPSYCH	2015i_HRC	eur	eur	0.6131	0.2131	2.8767	0.004	0.1103	0.022	0.998	0.0087	0.005	0.0053
HUNT	gp_all_20190625	lgic2	202011	eur	eur	-0.2144	0.3099	-0.6917	0.4891	0.1784	0.0792	0.9985	0.0069	0.0078	0.0051
HUNT	gp_all_20190625	MDD29	0120a_rmUKBB	eur	eur	0.8209	0.2027	4.0494	5.1343e-5	0.1145	0.0147	0.985	0.0086	0.0022	0.0054
HUNT	gp_all_20190625	MDD47	29w2_18w3_1503	eur	eur	0.7321	0.1646	4.4466	8.723e-6	0.0775	0.0085	1.0076	0.008	0.0058	0.0053
HUNT	gp_all_20190625	MoBa	harvest12	eur	eur	0.3524	0.505	0.6979	0.4852	0.0503	0.0508	0.9991	0.0085	0.0142	0.0062
HUNT	gp_all_20190625	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUNT	gp_all_20190625	MoBa	rotterdam1	eur	eur	1.0035	0.8521	1.1777	0.2389	0.0429	0.054	1.0037	0.0076	0.0029	0.0059
HUNT	gp_all_20190625	MVP	ICDdep_AllSex_202101	eur	eur	0.6252	0.1398	4.4728	7.7195e-6	0.0484	0.0033	1.0231	0.0098	0.0139	0.0067
HUNT	gp_all_20190625	PBK	2020	eur	eur	0.4947	0.3145	1.573	0.1157	0.0557	0.0204	1.0006	0.0068	0.0029	0.0053
HUNT	gp_all_20190625	PGC	wray2018	eur	eur	0.89	0.1645	5.4101	6.2995e-8	0.0567	0.0024	0.9984	0.0111	-4e-4	0.0052
HUNT	gp_all_20190625	PREFECT	run1	eur	eur	0.7182	0.2191	3.2778	0.001	0.5155	0.1022	0.9885	0.0077	0.0065	0.0052
HUNT	gp_all_20190625	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0674	0.0524	1.0125	0.0077	0.0096	0.0062
HUNT	gp_all_20190625	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0383	0.3108	0.9998	0.0075	0.0065	0.0052
HUNT	gp_all_20190625	UKBB	MD_glm_202012	eur	eur	0.7583	0.165	4.5946	4.3365e-6	0.0291	0.0019	1.0148	0.0079	0.0078	0.0055
HUNT	hospital_all_20190625	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.773	0.1642	4.7069	2.5149e-6	0.0851	0.0109	1	0.0077	0.0021	0.0054
HUNT	hospital_all_20190625	iPSYCH	2012_HRC	eur	eur	0.5733	0.1251	4.584	4.5626e-6	0.1458	0.0153	1.0256	0.0096	0.0165	0.0059
HUNT	hospital_all_20190625	iPSYCH	2015i_HRC	eur	eur	0.2674	0.1755	1.5238	0.1276	0.1104	0.022	0.998	0.0087	0.0203	0.0057
HUNT	hospital_all_20190625	lgic2	202011	eur	eur	0.5452	0.2719	2.0051	0.045	0.1786	0.0792	0.9985	0.0069	-0.008	0.0056
HUNT	hospital_all_20190625	MDD29	0120a_rmUKBB	eur	eur	0.7202	0.1538	4.682	2.8406e-6	0.1145	0.0147	0.9848	0.0086	9e-4	0.0054
HUNT	hospital_all_20190625	MDD47	29w2_18w3_1503	eur	eur	0.8192	0.1296	6.3186	2.6389e-10	0.0773	0.0085	1.0079	0.008	0.0043	0.0053
HUNT	hospital_all_20190625	MoBa	harvest12	eur	eur	0.6388	0.4763	1.3412	0.1799	0.0503	0.0508	0.9991	0.0085	0.0147	0.0064
HUNT	hospital_all_20190625	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUNT	hospital_all_20190625	MoBa	rotterdam1	eur	eur	0.3512	0.4168	0.8426	0.3994	0.0428	0.054	1.0037	0.0076	0.012	0.0058
HUNT	hospital_all_20190625	MVP	ICDdep_AllSex_202101	eur	eur	0.8242	0.1071	7.6981	1.3812e-14	0.0484	0.0034	1.0235	0.0099	-4e-4	0.0052
HUNT	hospital_all_20190625	PBK	2020	eur	eur	0.7517	0.2532	2.9685	0.003	0.0547	0.0204	1.0011	0.0068	0.0029	0.0049
HUNT	hospital_all_20190625	PGC	wray2018	eur	eur	0.7803	0.0992	7.8696	3.5565e-15	0.0567	0.0024	0.9983	0.0112	0.0016	0.0057
HUNT	hospital_all_20190625	PREFECT	run1	eur	eur	0.6795	0.1691	4.0197	5.8279e-5	0.5159	0.1023	0.9885	0.0077	0.0039	0.0053
HUNT	hospital_all_20190625	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0673	0.0524	1.0125	0.0077	0.0013	0.0059
HUNT	hospital_all_20190625	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0377	0.3109	0.9998	0.0075	-0.0027	0.0054
HUNT	hospital_all_20190625	UKBB	MD_glm_202012	eur	eur	0.8865	0.1229	7.2115	5.5322e-13	0.0291	0.0019	1.0145	0.0079	0.005	0.0053
iPSYCH	2012_HRC	iPSYCH	2015i_HRC	eur	eur	0.8507	0.1123	7.5753	3.5818e-14	0.1214	0.0218	0.9919	0.0087	0.0122	0.0063
iPSYCH	2012_HRC	lgic2	202011	eur	eur	0.5369	0.2013	2.6674	0.0076	0.1973	0.0948	0.9958	0.0084	-0.0048	0.006
iPSYCH	2012_HRC	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0598	0.3047	1.0006	0.008	-0.0019	0.0055
iPSYCH	2015i_HRC	lgic2	202011	eur	eur	0.7857	0.3005	2.6147	0.0089	0.1566	0.0882	1	0.0073	-0.0072	0.0052
iPSYCH	2015i_HRC	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lgic2	202011	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MDD29	0120a_rmUKBB	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7811	0.0922	8.473	2.3906e-17	0.0858	0.0107	0.999	0.0084	0.0039	0.0057
MDD29	0120a_rmUKBB	iPSYCH	2012_HRC	eur	eur	0.6862	0.0956	7.178	7.0717e-13	0.1516	0.0156	1.02	0.0096	0.0017	0.0065
MDD29	0120a_rmUKBB	iPSYCH	2015i_HRC	eur	eur	0.6826	0.1011	6.7539	1.4394e-11	0.1207	0.0215	0.9923	0.0082	-0.0032	0.0058
MDD29	0120a_rmUKBB	lgic2	202011	eur	eur	0.6415	0.2224	2.8839	0.0039	0.1977	0.089	0.9966	0.0074	0.0027	0.006
MDD29	0120a_rmUKBB	MDD47	29w2_18w3_1503	eur	eur	1.1332	0.0343	33.0042	7.0818e-239	0.079	0.0083	1.0049	0.008	0.7072	0.0069
MDD29	0120a_rmUKBB	MoBa	harvest12	eur	eur	0.2843	0.27	1.0529	0.2924	0.0587	0.0533	0.9973	0.0087	0.0044	0.0067
MDD29	0120a_rmUKBB	MoBa	harvest24	eur	eur	1.634	3.3897	0.482	0.6298	0.0237	0.0755	0.9983	0.0086	-0.0097	0.0063
MDD29	0120a_rmUKBB	MoBa	rotterdam1	eur	eur	0.7389	0.6658	1.1098	0.2671	0.0358	0.0545	1.0051	0.0082	0.0064	0.0064
MDD29	0120a_rmUKBB	MVP	ICDdep_AllSex_202101	eur	eur	0.7084	0.0673	10.5187	7.0823e-26	0.0489	0.0036	1.0203	0.0109	0.0027	0.0066
MDD29	0120a_rmUKBB	PBK	2020	eur	eur	0.8568	0.2414	3.5496	4e-4	0.0525	0.0208	1.0022	0.0072	0.004	0.0053
MDD29	0120a_rmUKBB	PGC	wray2018	eur	eur	0.8276	0.0437	18.9322	6.1893e-80	0.0563	0.0025	1.0011	0.0125	0.3146	0.0075
MDD29	0120a_rmUKBB	PREFECT	run1	eur	eur	0.3316	0.1233	2.6908	0.0071	0.5136	0.099	0.9876	0.0077	0.0098	0.0061
MDD29	0120a_rmUKBB	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0662	0.0494	1.012	0.0081	-0.0034	0.0054
MDD29	0120a_rmUKBB	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0267	0.314	0.9991	0.0076	0.0162	0.0054
MDD29	0120a_rmUKBB	UKBB	MD_glm_202012	eur	eur	0.694	0.0628	11.0472	2.2622e-28	0.0298	0.0019	1.0099	0.0089	0.0076	0.0062
MDD47	29w2_18w3_1503	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.8246	0.0929	8.8737	7.0755e-19	0.0862	0.011	0.9983	0.0084	0.008	0.0057
MDD47	29w2_18w3_1503	iPSYCH	2012_HRC	eur	eur	0.764	0.0903	8.4616	2.6371e-17	0.1493	0.0152	1.0223	0.0096	0.003	0.0068
MDD47	29w2_18w3_1503	iPSYCH	2015i_HRC	eur	eur	0.755	0.1056	7.1472	8.8548e-13	0.1165	0.0208	0.9951	0.008	0.0018	0.0053
MDD47	29w2_18w3_1503	lgic2	202011	eur	eur	0.6269	0.2226	2.8167	0.0049	0.1829	0.0881	0.9979	0.0073	0.0072	0.0058
MDD47	29w2_18w3_1503	MoBa	harvest12	eur	eur	0.4838	0.2918	1.6582	0.0973	0.0563	0.0515	0.9978	0.0084	0.0068	0.006
MDD47	29w2_18w3_1503	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MDD47	29w2_18w3_1503	MoBa	rotterdam1	eur	eur	0.7868	0.7246	1.0859	0.2775	0.033	0.0534	1.0059	0.0081	0.011	0.0067
MDD47	29w2_18w3_1503	MVP	ICDdep_AllSex_202101	eur	eur	0.7618	0.0576	13.2159	7.1041e-40	0.0489	0.0035	1.0208	0.0104	0.0101	0.007
MDD47	29w2_18w3_1503	PBK	2020	eur	eur	0.8733	0.2138	4.0842	4.4223e-5	0.0515	0.0204	1.0026	0.0071	0.0063	0.0048
MDD47	29w2_18w3_1503	PGC	wray2018	eur	eur	0.9313	0.0427	21.8284	1.2478e-105	0.0564	0.0025	1.0003	0.0125	0.2301	0.0075
MDD47	29w2_18w3_1503	PREFECT	run1	eur	eur	0.4268	0.1042	4.0941	4.2381e-5	0.522	0.0994	0.9873	0.0075	0.015	0.0061
MDD47	29w2_18w3_1503	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0736	0.0502	1.014	0.0078	9e-4	0.0059
MDD47	29w2_18w3_1503	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0594	0.3157	1.0005	0.0076	0.0198	0.0056
MDD47	29w2_18w3_1503	UKBB	MD_glm_202012	eur	eur	0.8544	0.0565	15.1097	1.3984e-51	0.0294	0.0018	1.0133	0.0082	0.0132	0.0067
MoBa	harvest12	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7996	0.5325	1.5016	0.1332	0.0858	0.0116	0.9996	0.0094	-0.0024	0.0061
MoBa	harvest12	iPSYCH	2012_HRC	eur	eur	0.424	0.2575	1.6463	0.0997	0.1451	0.0155	1.0295	0.0099	0.0027	0.0064
MoBa	harvest12	iPSYCH	2015i_HRC	eur	eur	0.5506	0.3171	1.7363	0.0825	0.1236	0.0216	0.9899	0.0088	0.0021	0.0065
MoBa	harvest12	lgic2	202011	eur	eur	0.3859	0.4979	0.775	0.4383	0.1895	0.0907	0.9971	0.0083	0.0052	0.0059
MoBa	harvest12	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MoBa	harvest12	MoBa	rotterdam1	eur	eur	-0.4072	0.48	-0.8484	0.3962	0.0794	0.0536	0.9935	0.0081	0.0214	0.0057
MoBa	harvest12	PBK	2020	eur	eur	0.9846	0.9234	1.0663	0.2863	0.0377	0.0217	1.0083	0.0078	-0.0046	0.006
MoBa	harvest12	PGC	wray2018	eur	eur	0.7106	0.3468	2.0487	0.0405	0.0568	0.0027	1.0047	0.0145	-0.0045	0.0074
MoBa	harvest12	PREFECT	run1	eur	eur	-0.0589	0.2981	-0.1976	0.8434	0.4636	0.1056	0.9947	0.0086	0.0035	0.0057
MoBa	harvest12	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0661	0.0508	1.0126	0.0083	-0.006	0.0061
MoBa	harvest12	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.2329	0.3311	1.0065	0.0088	7e-4	0.0062
MoBa	harvest12	UKBB	MD_glm_202012	eur	eur	0.4213	0.2493	1.6897	0.0911	0.0289	0.002	1.02	0.0099	0.0011	0.0067
MoBa	harvest24	deCODE	DEPALL_FINAL_WHEAD	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MoBa	harvest24	iPSYCH	2012_HRC	eur	eur	1.2706	3.1658	0.4013	0.6882	0.1428	0.0159	1.0334	0.0105	-0.0022	0.0072
MoBa	harvest24	iPSYCH	2015i_HRC	eur	eur	0.7781	2.2906	0.3397	0.7341	0.126	0.0228	0.9887	0.0094	0.0049	0.0063
MoBa	harvest24	lgic2	202011	eur	eur	NA	NA	NA	NA	0.1867	0.0922	0.9991	0.0089	-0.0036	0.0066
MoBa	harvest24	MoBa	rotterdam1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MoBa	harvest24	PBK	2020	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MoBa	harvest24	PGC	wray2018	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MoBa	harvest24	PREFECT	run1	eur	eur	NA	NA	NA	NA	0.4404	0.108	0.9983	0.009	0.0111	0.0066
MoBa	harvest24	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0725	0.0502	1.0151	0.0081	-6.1745e-5	0.0063
MoBa	harvest24	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.3035	0.3415	1.0104	0.0094	0.0018	0.0061
MoBa	harvest24	UKBB	MD_glm_202012	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MoBa	rotterdam1	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.9523	0.7156	1.3307	0.1833	0.0808	0.0119	1.0044	0.0096	7e-4	0.0059
MoBa	rotterdam1	iPSYCH	2012_HRC	eur	eur	0.7015	0.5522	1.2704	0.2039	0.148	0.0162	1.0282	0.0105	-0.0025	0.007
MoBa	rotterdam1	iPSYCH	2015i_HRC	eur	eur	0.3975	0.352	1.1291	0.2589	0.116	0.0221	0.9952	0.0089	-2e-4	0.0062
MoBa	rotterdam1	lgic2	202011	eur	eur	-0.6522	0.6542	-0.9969	0.3188	0.2059	0.0922	0.995	0.0081	0.0052	0.0056
MoBa	rotterdam1	PBK	2020	eur	eur	0.8273	0.751	1.1017	0.2706	0.0401	0.0216	1.0071	0.0076	-0.0024	0.0054
MoBa	rotterdam1	PGC	wray2018	eur	eur	0.8523	0.5899	1.4447	0.1485	0.0571	0.0026	1.0037	0.0133	-0.0031	0.0066
MoBa	rotterdam1	PREFECT	run1	eur	eur	1.0365	0.79	1.3119	0.1895	0.4168	0.1026	1.0007	0.0082	-0.0057	0.0053
MoBa	rotterdam1	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0758	0.0504	1.0145	0.0079	0.005	0.0058
MoBa	rotterdam1	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.2461	0.316	1.0081	0.0086	0.0016	0.0049
MoBa	rotterdam1	UKBB	MD_glm_202012	eur	eur	0.8548	0.6364	1.3431	0.1792	0.0288	0.002	1.0209	0.0097	0.0019	0.006
MVP	ICDdep_AllSex_202101	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7988	0.064	12.4736	1.0408e-35	0.085	0.0102	0.9998	0.0076	0.0101	0.0058
MVP	ICDdep_AllSex_202101	iPSYCH	2012_HRC	eur	eur	0.755	0.0596	12.6587	1.0017e-36	0.147	0.0148	1.0245	0.0095	-0.0024	0.0064
MVP	ICDdep_AllSex_202101	iPSYCH	2015i_HRC	eur	eur	0.6971	0.0897	7.771	7.7891e-15	0.1115	0.0209	0.998	0.008	8e-4	0.0059
MVP	ICDdep_AllSex_202101	lgic2	202011	eur	eur	0.3349	0.1444	2.3185	0.0204	0.173	0.0847	0.9993	0.0073	0.0046	0.0061
MVP	ICDdep_AllSex_202101	MoBa	harvest12	eur	eur	0.2504	0.209	1.1978	0.231	0.0537	0.0504	0.998	0.0085	0.007	0.0067
MVP	ICDdep_AllSex_202101	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MVP	ICDdep_AllSex_202101	MoBa	rotterdam1	eur	eur	0.9058	0.5259	1.7223	0.085	0.0485	0.0526	1.0025	0.0076	-0.0095	0.0062
MVP	ICDdep_AllSex_202101	PBK	2020	eur	eur	0.7407	0.1607	4.6093	4.0402e-6	0.0582	0.019	0.999	0.0062	0.0064	0.0054
MVP	ICDdep_AllSex_202101	PGC	wray2018	eur	eur	0.7966	0.0308	25.8963	7.3221e-148	0.0556	0.0023	1.0066	0.0104	0.0109	0.008
MVP	ICDdep_AllSex_202101	PREFECT	run1	eur	eur	0.5183	0.0828	6.2576	3.9087e-10	0.5228	0.1009	0.98740000000000006	0.0076	-0.0011	0.0062
MVP	ICDdep_AllSex_202101	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0639	0.053	1.0122	0.008	0.008	0.0064
MVP	ICDdep_AllSex_202101	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0513	0.2891	1	0.0071	-0.004	0.0058
MVP	ICDdep_AllSex_202101	UKBB	MD_glm_202012	eur	eur	0.8517	0.0376	22.6414	1.6949e-113	0.0294	0.0017	1.0131	0.0074	0.0011	0.0059
PBK	2020	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7184	0.1837	3.9109	9.1952e-5	0.0856	0.0101	0.9998	0.0078	0.0066	0.0051
PBK	2020	iPSYCH	2012_HRC	eur	eur	0.7746	0.2381	3.2539	0.0011	0.1446	0.0148	1.028	0.0093	0.0015	0.0068
PBK	2020	iPSYCH	2015i_HRC	eur	eur	1.0033	0.2811	3.5694	4e-4	0.113	0.0213	0.9975	0.0081	-0.006	0.0055
PBK	2020	lgic2	202011	eur	eur	0.7488	0.4095	1.8288	0.0674	0.1865	0.0857	0.9983	0.0071	-0.0069	0.0055
PBK	2020	PGC	wray2018	eur	eur	0.8661	0.1762	4.9154	8.8591e-7	0.0563	0.0025	1.0048	0.012	-0.0012	0.006
PBK	2020	PREFECT	run1	eur	eur	0.3209	0.1969	1.6292	0.1033	0.5547	0.0956	0.9848	0.0072	0.0045	0.0047
PBK	2020	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0677	0.0501	1.0132	0.0082	-0.0018	0.0058
PBK	2020	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBK	2020	UKBB	MD_glm_202012	eur	eur	0.5783	0.1444	4.004	6.2281e-5	0.0291	0.0018	1.0165	0.0075	0.0048	0.0053
PGC	wray2018	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.8227	0.0525	15.6597	2.8536e-55	0.0829	0.0105	1.0016	0.0075	0.0505	0.0057
PGC	wray2018	iPSYCH	2012_HRC	eur	eur	0.8898	0.0467	19.0608	5.3423e-81	0.1491	0.0151	1.0223	0.0095	0.2518	0.0077
PGC	wray2018	iPSYCH	2015i_HRC	eur	eur	0.7816	0.0784	9.9669	2.1285e-23	0.1132	0.0213	0.997	0.0083	2e-4	0.007
PGC	wray2018	lgic2	202011	eur	eur	0.644	0.1781	3.6155	3e-4	0.1669	0.0864	1.0001	0.0072	0.0027	0.0063
PGC	wray2018	PREFECT	run1	eur	eur	0.4146	0.0572	7.2543	4.0377e-13	0.531	0.0994	0.9863	0.0074	0.0044	0.0061
PGC	wray2018	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.066	0.0509	1.0124	0.0075	0.0127	0.0075
PGC	wray2018	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0295	0.3135	0.9996	0.0074	0.0104	0.0057
PGC	wray2018	UKBB	MD_glm_202012	eur	eur	0.8179	0.0287	28.5091	9.0247e-179	0.0295	0.0018	1.0117	0.0078	0.0579	0.0071
PREFECT	run1	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.4693	0.1176	3.9924	6.5408e-5	0.0868	0.0105	0.9977	0.0082	8e-4	0.005
PREFECT	run1	iPSYCH	2012_HRC	eur	eur	0.4556	0.1137	4.0085	6.1097e-5	0.145	0.0149	1.0264	0.0092	0.0043	0.0062
PREFECT	run1	iPSYCH	2015i_HRC	eur	eur	0.3958	0.1367	2.8958	0.0038	0.1123	0.0216	0.9978	0.0082	0.0069	0.0052
PREFECT	run1	lgic2	202011	eur	eur	0.4938	0.2578	1.9153	0.0555	0.1777	0.0815	0.9988	0.007	0.002	0.005
PREFECT	run1	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0716	0.0516	1.0134	0.0076	0.013	0.0058
PREFECT	run1	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PREFECT	run1	UKBB	MD_glm_202012	eur	eur	0.476	0.0762	6.2471	4.1806e-10	0.0283	0.0018	1.0208	0.0078	0.0022	0.0056
STAGE	MDDdx_saige	deCODE	DEPALL_FINAL_WHEAD	eur	eur	NA	NA	NA	NA	0.0823	0.0113	1.002	0.0096	-0.0059	0.0058
STAGE	MDDdx_saige	iPSYCH	2012_HRC	eur	eur	NA	NA	NA	NA	0.1426	0.016	1.033	0.0105	-2e-4	0.0068
STAGE	MDDdx_saige	iPSYCH	2015i_HRC	eur	eur	NA	NA	NA	NA	0.1146	0.0233	0.9955	0.0092	-0.0079	0.0059
STAGE	MDDdx_saige	lgic2	202011	eur	eur	NA	NA	NA	NA	0.1701	0.0847	1.0006	0.0076	0.0125	0.0054
STAGE	MDDdx_saige	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.2939	0.3087	1.0109	0.0078	-0.0089	0.0053
STAGE	MDDdx_saige	UKBB	MD_glm_202012	eur	eur	NA	NA	NA	NA	0.0288	0.0021	1.0238	0.0098	0.0074	0.0059
UKBB	MD_glm_202012	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.8278	0.0752	11.0101	3.4176e-28	0.0848	0.0103	1.0001	0.0075	0.0076	0.0053
UKBB	MD_glm_202012	iPSYCH	2012_HRC	eur	eur	0.7292	0.0586	12.4337	1.7157e-35	0.1452	0.015	1.0259	0.0097	0.0031	0.0063
UKBB	MD_glm_202012	iPSYCH	2015i_HRC	eur	eur	0.7611	0.0802	9.4852	2.4196e-21	0.1123	0.0208	0.9977	0.0078	0.0058	0.005
UKBB	MD_glm_202012	lgic2	202011	eur	eur	0.424	0.1579	2.6855	0.0072	0.1751	0.0855	0.9988	0.0072	-0.0015	0.0054
UKBB	MD_glm_202012	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
